,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Classification,Clustering,Pair Classification,Retrieval,STS
0,1,[Jasper-Token-Compression-600M](https://huggingface.co/infgrad/Jasper-Token-Compression-600M),47%,0.452,0.607,2048.0,32768.0,79.35,79.64,89.96,61.63,93.63,64.57,88.43
1,2,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),100%,6.946,7.567,4096.0,32768.0,80.14,80.26,90.67,61.44,91.46,68.19,89.52
2,3,[LGAI-Embedding-Preview](https://huggingface.co/annamodels/LGAI-Embedding-Preview),47%,6.979,7.11,4096.0,32768.0,79.11,79.78,89.45,61.82,92.79,68.1,86.74
3,4,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),100%,3.634,4.022,2560.0,32768.0,79.62,79.71,90.18,60.76,91.62,66.67,89.31
4,5,[harrier-oss-v1-27b](https://huggingface.co/microsoft/harrier-oss-v1-27b),90%,25.599,27.009,5376.0,131072.0,78.95,79.04,89.85,63.47,92.48,61.85,87.57
5,6,[Octen-Embedding-8B](https://huggingface.co/Octen/Octen-Embedding-8B),100%,6.946,7.567,4096.0,32768.0,79.82,79.84,90.58,60.87,91.08,67.12,89.57
6,7,[QZhou-Embedding](https://huggingface.co/Kingsoft-LLM/QZhou-Embedding),47%,6.526,7.071,3584.0,8192.0,80.15,79.97,88.16,61.94,95.27,63.47,91.0
7,8,[Seed1.5-Embedding](https://seed1-5-embedding.github.io/),47%,,,2048.0,32768.0,79.0,79.02,88.62,63.66,92.04,63.06,87.7
8,9,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),100%,,,3072.0,2048.0,78.85,79.49,89.82,64.37,91.97,65.97,85.34
9,10,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),100%,6.98,7.505,4096.0,32768.0,77.12,77.32,85.36,58.45,91.87,64.01,86.93
10,11,[Seed1.6-embedding](https://seed1-6-embedding.github.io/),47%,,,2048.0,32768.0,78.01,77.93,92.5,61.76,88.39,60.16,86.83
11,12,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),47%,1.332,1.565,8960.0,131072.0,77.11,77.72,90.37,63.66,92.05,58.86,83.65
12,13,[KaLM-Embedding-Gemma3-12B-2511](https://huggingface.co/tencent/KaLM-Embedding-Gemma3-12B-2511),61%,10.759,11.766,3840.0,32768.0,76.36,76.89,88.79,59.22,92.06,59.63,84.77
13,14,[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),⚠️ NA,0.44,0.596,1024.0,32768.0,77.05,77.02,92.71,57.96,91.27,55.53,87.62
14,15,[harrier-oss-v1-0.6b](https://huggingface.co/microsoft/harrier-oss-v1-0.6b),90%,0.44,0.596,1024.0,32768.0,76.21,76.55,87.89,59.54,91.87,58.43,84.99
15,16,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),100%,0.44,0.596,1024.0,32768.0,76.17,76.26,85.11,57.63,90.43,61.96,86.17
16,17,[jina-embeddings-v5-text-nano](https://huggingface.co/jinaai/jina-embeddings-v5-text-nano),⚠️ NA,0.113,0.212,768.0,8192.0,76.54,76.46,92.15,56.89,90.55,55.3,87.42
17,18,[KaLM-embedding-multilingual-mini-instruct-v2.5](https://huggingface.co/KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5),61%,0.358,0.494,896.0,512.0,75.67,76.01,90.14,59.34,91.38,54.92,84.3
18,19,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),100%,6.98,7.111,4096.0,32768.0,74.57,74.6,79.63,56.92,91.89,59.56,85.0
19,20,[F2LLM-v2-14B](https://huggingface.co/codefuse-ai/F2LLM-v2-14B),42%,13.214,13.99,5120.0,40960.0,77.31,77.12,91.63,67.78,90.98,50.77,84.44
20,21,[F2LLM-v2-8B](https://huggingface.co/codefuse-ai/F2LLM-v2-8B),42%,6.947,7.568,4096.0,40960.0,76.92,76.73,91.24,66.93,91.25,49.87,84.36
21,22,[Seed1.6-embedding-1215](https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision),47%,,,2048.0,32768.0,76.53,76.37,87.85,61.96,90.31,56.13,85.58
22,23,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),85%,6.98,7.111,4096.0,32768.0,73.81,73.39,73.5,58.07,92.12,58.23,85.04
23,24,[Yuan-embedding-2.0-en](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-en),100%,0.44,0.596,1024.0,2048.0,76.64,77.54,83.32,55.39,88.37,75.78,84.81
24,25,[BidirLM-Omni-2.5B-Embedding](https://huggingface.co/BidirLM/BidirLM-Omni-2.5B-Embedding),100%,2.13,2.445,2048.0,32768.0,73.38,73.14,78.35,56.97,92.19,53.75,84.43
25,26,[Tarka-Embedding-350M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-350M-V1),100%,0.287,0.354,1024.0,128000.0,75.2,75.31,88.8,58.81,90.39,54.08,84.45
26,27,[F2LLM-v2-1.7B](https://huggingface.co/codefuse-ai/F2LLM-v2-1.7B),42%,1.41,1.721,2048.0,40960.0,75.8,75.46,91.05,65.23,90.87,46.12,84.04
27,28,[F2LLM-4B](https://huggingface.co/codefuse-ai/F2LLM-4B),42%,3.634,4.022,2560.0,8192.0,77.85,77.23,91.12,73.02,88.48,49.76,83.78
28,29,[F2LLM-v2-4B](https://huggingface.co/codefuse-ai/F2LLM-v2-4B),42%,3.634,4.022,2560.0,40960.0,76.49,76.23,91.34,66.5,90.34,48.95,84.04
29,30,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),47%,1.307,1.54,8960.0,131072.0,75.07,75.77,88.73,60.3,91.74,55.89,82.21
30,31,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),100%,0.106,0.308,768.0,2048.0,75.75,76.09,86.21,62.06,91.96,56.77,83.45
31,32,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),47%,7.719,7.85,4096.0,32768.0,73.28,74.16,83.54,51.14,92.48,60.28,83.36
32,33,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,1.31,1.543,8960.0,32768.0,74.5,75.01,83.05,57.23,91.45,60.03,83.28
33,34,[F2LLM-1.7B](https://huggingface.co/codefuse-ai/F2LLM-1.7B),42%,1.409,1.721,2048.0,8192.0,76.57,76.25,90.14,68.49,89.98,49.24,83.41
34,35,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),100%,,,768.0,2048.0,73.94,73.93,82.06,56.37,91.97,54.64,84.62
35,36,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),47%,,0.435,4096.0,8192.0,73.59,74.34,86.5,61.21,90.66,53.59,79.72
36,37,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,6.477,7.099,4096.0,32768.0,74.44,74.3,79.66,63.41,91.43,54.35,82.66
37,38,[BidirLM-1.7B-Embedding](https://huggingface.co/BidirLM/BidirLM-1.7B-Embedding),100%,1.409,1.721,2048.0,512.0,72.94,72.77,78.39,57.44,91.35,53.33,83.34
38,39,[F2LLM-v2-0.6B](https://huggingface.co/codefuse-ai/F2LLM-v2-0.6B),42%,0.441,0.596,1024.0,40960.0,74.43,74.22,90.4,62.9,91.06,43.75,83.0
39,40,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,6.526,7.069,3584.0,32768.0,75.29,75.29,87.61,63.12,89.87,52.81,83.07
40,41,[voyage-3-m-exp](https://huggingface.co/voyageai/voyage-3-m-exp),42%,,6.918,2048.0,32000.0,75.55,77.33,95.1,49.43,89.6,69.02,83.49
41,42,[harrier-oss-v1-270m](https://huggingface.co/microsoft/harrier-oss-v1-270m),90%,0.1,0.268,640.0,32768.0,73.87,74.33,85.3,56.26,91.31,55.73,83.04
42,43,[Euler-Legal-Embedding-V1](https://huggingface.co/Mira190/Euler-Legal-Embedding-V1),100%,6.946,7.567,4096.0,1536.0,72.75,73.06,73.91,51.24,91.67,64.27,84.21
43,44,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),100%,6.98,7.111,4096.0,32768.0,72.14,71.91,74.4,54.48,91.82,55.0,83.84
44,45,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),100%,,,768.0,2048.0,73.55,73.54,81.59,56.0,91.95,53.89,84.27
45,46,[F2LLM-0.6B](https://huggingface.co/codefuse-ai/F2LLM-0.6B),42%,0.44,0.596,1024.0,8192.0,74.93,74.73,90.53,65.02,89.13,46.64,82.33
46,47,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),85%,6.98,7.111,4096.0,32768.0,74.83,76.18,90.21,61.63,92.85,56.57,79.65
47,48,[BidirLM-1B-Embedding](https://huggingface.co/BidirLM/BidirLM-1B-Embedding),100%,0.698,1.0,1152.0,512.0,71.78,71.54,76.01,54.5,91.22,52.62,83.32
48,49,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),85%,0.304,0.335,1024.0,512.0,70.63,70.43,73.96,51.9,91.25,52.19,82.85
49,50,[Giga-Embeddings-instruct](https://huggingface.co/ai-sage/Giga-Embeddings-instruct),⚠️ NA,,3.227,2048.0,4096.0,74.33,74.57,90.57,60.25,90.0,49.62,82.39
50,51,[F2LLM-v2-330M](https://huggingface.co/codefuse-ai/F2LLM-v2-330M),42%,0.198,0.334,896.0,40960.0,73.4,73.49,89.89,60.93,91.28,43.63,81.71
51,52,[BOOM_4B_v1](https://huggingface.co/ICT-TIME-and-Querit/BOOM_4B_v1),90%,3.633,4.022,2560.0,32768.0,73.79,74.16,86.84,59.66,91.7,50.68,81.92
52,53,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),95%,0.316,0.572,1024.0,8194.0,72.17,71.88,86.3,49.95,90.57,46.98,85.6
53,54,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,1024.0,512.0,70.89,71.0,74.34,52.93,91.35,54.58,81.82
54,55,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,512.0,,70.81,70.55,73.45,51.62,91.64,52.61,83.43
55,56,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,0.304,0.335,1024.0,512.0,68.43,69.56,73.07,51.16,91.78,55.13,76.63
56,57,[voyage-large-2-instruct](https://blog.voyageai.com/2024/05/05/voyage-large-2-instruct-instruction-tuned-and-rank-1-on-mteb/),100%,,,1024.0,16000.0,70.81,71.46,76.58,51.68,92.24,56.0,80.79
57,58,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,0.304,0.335,1024.0,512.0,68.17,69.29,73.06,50.66,91.52,54.7,76.49
58,59,[BidirLM-0.6B-Embedding](https://huggingface.co/BidirLM/BidirLM-0.6B-Embedding),100%,0.44,0.596,1024.0,512.0,71.03,70.93,74.47,55.73,91.09,51.94,81.45
59,60,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),100%,0.304,0.56,1024.0,514.0,70.68,69.75,68.6,52.93,89.46,53.41,84.35
60,61,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),47%,7.719,7.85,4096.0,32768.0,72.13,72.6,78.74,52.85,91.08,58.09,82.24
61,62,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),100%,7.109,7.24,4096.0,32768.0,71.37,71.28,75.84,53.71,90.39,53.96,82.5
62,63,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),100%,,,768.0,2048.0,72.41,72.4,80.63,55.12,91.92,51.08,83.26
63,64,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),85%,0.086,0.109,768.0,512.0,69.84,69.82,72.96,51.87,91.04,51.9,81.33
64,65,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),100%,7.022,7.153,4096.0,32768.0,70.24,70.25,76.1,47.21,91.69,52.56,83.7
65,66,[GeoEmbedding](https://huggingface.co/GeoGPT-Research-Project/GeoEmbedding),52%,6.98,7.111,4096.0,32768.0,73.4,74.66,89.02,55.27,89.79,59.09,80.14
66,67,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),100%,13.0,57.92,32768.0,32768.0,71.09,70.83,73.72,54.25,89.24,54.71,82.23
67,68,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),95%,0.304,0.56,1024.0,514.0,69.69,68.15,72.16,49.81,89.9,42.55,86.32
68,69,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),⚠️ NA,6.98,7.111,,32768.0,69.65,69.36,68.93,48.31,91.64,54.45,83.45
69,70,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),100%,0.304,0.335,1024.0,4096.0,,,73.0,,91.49,52.98,
70,71,[Tarka-Embedding-150M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-150M-V1),100%,0.106,0.156,768.0,2048.0,72.33,72.46,84.79,56.37,87.46,52.32,81.35
71,72,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),⚠️ NA,0.022,0.033,384.0,512.0,69.58,69.85,73.61,51.21,90.85,53.18,80.38
72,73,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),⚠️ NA,0.086,0.109,,512.0,69.17,69.1,74.54,51.09,90.93,48.0,80.96
73,74,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),100%,0.304,0.335,1024.0,512.0,67.63,68.76,71.81,51.42,91.18,53.95,75.45
74,75,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),85%,0.022,0.033,384.0,512.0,69.05,69.05,73.0,51.06,90.62,50.05,80.54
75,76,[F2LLM-v2-160M](https://huggingface.co/codefuse-ai/F2LLM-v2-160M),42%,0.062,0.159,640.0,40960.0,70.87,71.26,87.02,57.11,90.95,41.96,79.24
76,77,[mdbr-leaf-mt](https://huggingface.co/MongoDB/mdbr-leaf-mt),100%,0.011,0.023,1024.0,512.0,69.14,68.6,69.9,50.33,91.01,49.08,82.67
77,78,[gte-large](https://huggingface.co/thenlper/gte-large),⚠️ NA,0.304,0.335,1024.0,512.0,68.91,68.58,69.55,51.03,90.64,50.27,81.41
78,79,[mini-gte](https://huggingface.co/prdev/mini-gte),100%,0.043,0.066,768.0,512.0,69.92,69.99,76.14,51.55,90.46,50.65,81.15
79,80,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,68.92,69.16,73.9,51.25,91.46,49.42,79.77
80,81,[Conan-embedding-v2](https://huggingface.co/TencentBAC/Conan-embedding-v2),57%,,,3584.0,32768.0,,,90.96,,96.3,64.69,
81,82,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),100%,0.086,0.109,768.0,512.0,66.67,68.2,71.48,50.6,91.01,54.5,73.4
82,83,[gte-base](https://huggingface.co/thenlper/gte-base),⚠️ NA,0.086,0.109,768.0,512.0,68.36,68.23,69.82,50.75,90.64,49.68,80.26
83,84,[miniac-embed](https://huggingface.co/ManiacLabs/miniac-embed),100%,0.021,0.033,1024.0,512.0,67.88,66.97,69.24,49.73,90.92,42.54,82.45
84,85,[e5-large](https://huggingface.co/intfloat/e5-large),100%,0.304,0.335,1024.0,512.0,68.46,68.35,71.3,49.35,90.86,49.26,80.95
85,86,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),61%,0.358,0.494,896.0,512.0,68.74,68.93,72.7,48.77,90.83,51.78,80.58
86,87,[LENS-d8000](https://huggingface.co/yibinlei/LENS-d8000),57%,6.979,7.11,8000.0,32768.0,,,89.07,,92.19,60.58,
87,88,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),61%,0.358,0.494,896.0,512.0,69.57,70.2,80.27,47.79,90.25,52.18,80.51
88,89,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),90%,,0.137,768.0,8192.0,68.57,68.44,72.12,50.19,90.12,49.16,80.62
89,90,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),⚠️ NA,0.404,0.435,4096.0,8192.0,66.83,66.99,68.41,51.48,91.19,46.48,77.38
90,91,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),100%,0.304,0.56,1024.0,514.0,65.49,65.48,73.85,51.75,90.3,35.53,75.97
91,92,[LENS-d4000](https://huggingface.co/yibinlei/LENS-d4000),57%,6.979,7.11,4000.0,32768.0,,,88.51,,92.24,58.19,
92,93,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,3072.0,8191.0,,,74.13,51.73,,53.54,81.59
93,94,[F2LLM-v2-80M](https://huggingface.co/codefuse-ai/F2LLM-v2-80M),42%,0.032,0.08,320.0,40960.0,69.46,69.95,85.64,55.24,89.86,41.24,77.77
94,95,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),100%,0.304,0.435,1024.0,514.0,64.79,65.0,73.79,51.65,90.32,34.74,74.52
95,96,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),95%,0.086,0.278,768.0,514.0,67.36,66.27,70.18,48.17,90.62,39.41,82.96
96,97,[bge-en-icl](https://huggingface.co/BAAI/bge-en-icl),57%,6.979,7.11,4096.0,32768.0,,,89.75,,92.57,62.47,
