,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Classification,Clustering,Pair Classification,Retrieval,STS
195,196,[voyage-finance-2](https://blog.voyageai.com/2024/06/03/domain-specific-embeddings-finance-edition-voyage-finance-2/),100%,,,1024.0,32000.0,,,69.07,49.79,82.52,,76.07
196,197,[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/),⚠️ NA,,,1536.0,8191.0,,,72.83,,89.69,48.09,
197,198,[sentence-t5-xl](https://huggingface.co/sentence-transformers/sentence-t5-xl),100%,1.209,1.242,768.0,512.0,,,73.23,,88.65,36.71,
198,199,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),100%,0.011,0.023,384.0,512.0,62.61,63.62,60.77,45.78,89.83,49.96,71.76
199,200,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),90%,1.214,1.28,2048.0,2048.0,62.03,62.46,64.61,46.89,86.54,42.61,71.67
200,201,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),90%,1.214,1.28,2048.0,2048.0,62.23,62.51,67.07,44.73,87.25,40.1,73.4
201,202,[sentence-t5-xxl](https://huggingface.co/sentence-transformers/sentence-t5-xxl),100%,4.833,4.866,768.0,512.0,,,42.05,,87.46,38.83,
202,203,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),100%,0.006,0.017,384.0,512.0,60.88,60.12,65.86,45.08,87.35,27.57,74.75
203,204,[potion-base-32M](https://huggingface.co/minishlab/potion-base-32M),100%,0.0,0.032,512.0,,61.82,61.86,70.04,45.3,87.68,32.79,73.48
204,205,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️ NA,0.006,0.017,384.0,512.0,57.87,59.04,64.79,45.09,89.21,30.36,65.74
205,206,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),90%,1.214,1.28,2048.0,2048.0,61.15,61.59,65.6,47.12,85.23,39.69,70.29
206,207,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),100%,0.087,0.129,768.0,512.0,59.18,59.82,67.55,42.84,89.29,29.6,69.83
207,208,[potion-retrieval-32M](https://huggingface.co/minishlab/potion-retrieval-32M),100%,0.0,0.032,512.0,,61.21,61.21,66.01,45.74,87.26,34.42,72.62
208,209,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),100%,0.303,0.404,1024.0,512.0,59.4,60.64,64.44,46.87,84.75,41.4,65.76
209,210,[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large),100%,0.303,0.336,768.0,512.0,,,,,87.58,33.59,
210,211,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,0.019,0.035,512.0,512.0,,,,40.15,89.18,37.05,75.15
211,212,[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m),100%,0.302,0.559,,,,,,39.13,88.6,44.28,
212,213,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),⚠️ NA,0.304,0.336,1024.0,512.0,56.79,55.92,63.07,41.85,83.04,21.02,70.62
213,214,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),100%,0.004,0.016,384.0,512.0,59.07,58.38,65.01,43.37,84.24,26.85,72.44
214,215,[gtr-t5-xxl](https://huggingface.co/sentence-transformers/gtr-t5-xxl),100%,4.833,4.866,768.0,512.0,,,68.8,,90.41,40.52,
215,216,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),⚠️ NA,0.004,0.016,384.0,512.0,57.46,57.93,68.34,42.18,86.38,24.82,67.94
216,216,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),100%,0.0,0.008,256.0,,56.47,58.52,67.89,43.93,86.17,33.37,61.25
217,218,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100%,0.086,0.471,768.0,512.0,56.46,56.34,66.56,39.97,86.92,18.72,69.53
218,219,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),100%,0.0,0.031,1024.0,,57.99,58.36,63.65,35.93,86.7,34.08,71.44
219,220,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),95%,0.0,0.108,1024.0,,57.86,57.71,62.41,35.0,87.62,30.12,73.41
220,221,[gtr-t5-xl](https://huggingface.co/sentence-transformers/gtr-t5-xl),100%,1.209,1.242,768.0,512.0,,,68.86,,90.29,42.87,
221,222,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),100%,0.0,0.004,128.0,,55.21,57.09,65.12,43.5,85.35,31.22,60.27
222,223,[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base),100%,0.198,0.223,768.0,512.0,,,,,88.64,33.23,
223,224,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),100%,0.0,0.128,256.0,,57.03,57.15,62.78,42.4,83.28,29.51,67.77
224,225,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),100%,0.087,0.129,768.0,512.0,54.29,54.9,65.33,41.77,86.29,17.26,63.86
225,226,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),100%,0.0,0.102,256.0,,54.3,56.24,64.7,41.58,83.71,31.74,59.47
226,227,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),⚠️ NA,0.304,0.335,1024.0,512.0,56.37,56.05,55.31,43.02,85.62,27.79,68.52
227,228,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),100%,1.982,2.506,2048.0,8192.0,41.2,43.4,60.89,49.3,59.64,12.12,35.06
228,229,[LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse),100%,6.516,6.647,4096.0,32768.0,,,74.19,,84.26,39.26,
229,230,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse),100%,7.022,7.547,4096.0,8192.0,,,74.19,,83.72,41.82,
230,231,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100%,0.303,0.336,768.0,512.0,,,,,89.97,41.42,
231,232,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),100%,0.0,0.002,64.0,,52.83,54.49,61.4,41.71,83.76,27.09,58.48
232,233,[USER-base](https://huggingface.co/deepvk/USER-base),100%,0.388,0.427,768.0,512.0,53.24,53.54,60.54,38.54,82.43,22.15,64.05
233,234,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),100%,0.0,0.103,256.0,,52.12,54.18,65.03,41.04,81.95,26.5,56.36
234,235,[gtr-t5-base](https://huggingface.co/sentence-transformers/gtr-t5-base),100%,0.086,0.11,768.0,512.0,,,49.66,,89.66,40.29,
235,236,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),100%,0.003,0.029,312.0,2048.0,50.58,51.9,59.43,37.45,85.81,17.88,58.92
236,237,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),100%,0.0,0.008,256.0,,51.89,54.22,65.09,38.51,82.46,28.62,56.39
237,238,[lodestone-base-4096-v1](https://huggingface.co/Hum-Works/lodestone-base-4096-v1),100%,0.114,0.137,768.0,,,,47.75,,86.76,34.55,
238,239,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),100%,0.086,0.109,768.0,514.0,47.59,48.51,57.97,36.75,80.58,11.47,55.77
239,240,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),100%,0.003,0.029,312.0,2048.0,47.17,47.42,56.03,38.8,74.57,12.5,55.22
240,241,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),100%,0.003,0.012,312.0,512.0,44.41,44.67,60.5,39.53,62.62,11.5,49.21
241,242,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),⚠️ NA,0.086,0.135,768.0,512.0,45.85,46.65,57.15,35.94,76.78,9.76,53.6
242,243,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),100%,0.086,0.163,768.0,512.0,44.41,45.06,59.6,33.64,72.99,6.61,52.48
243,244,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),100%,0.086,0.135,768.0,512.0,44.66,45.24,53.37,35.03,76.38,8.31,53.13
244,245,[LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse),100%,1.229,1.295,4096.0,32768.0,,,70.44,,77.55,35.07,
245,246,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),100%,0.015,0.107,768.0,512.0,40.47,40.04,60.39,35.79,48.49,10.27,45.25
246,247,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),100%,0.015,0.107,768.0,512.0,41.61,40.53,50.16,36.89,59.2,6.12,50.26
247,248,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),100%,0.304,0.427,1024.0,512.0,40.1,39.16,51.33,35.27,53.85,7.72,47.62
248,249,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),100%,1.188,1.28,768.0,512.0,33.8,33.73,53.57,36.84,38.66,5.81,33.77
249,250,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),100%,0.085,0.124,768.0,512.0,36.99,37.19,55.37,35.27,50.17,5.38,39.74
250,251,[SONAR](https://ai.meta.com/research/publications/sonar-sentence-level-multimodal-and-language-agnostic-representations/),100%,,,1024.0,512.0,,,71.15,,80.47,14.97,
251,252,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),100%,0.304,0.427,1024.0,512.0,35.85,35.56,52.01,35.31,44.66,7.15,38.68
252,253,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),⚠️ NA,,0.099,1024.0,512.0,37.76,37.5,51.93,32.66,55.05,3.8,44.06
253,254,baseline-random-encoder,100%,,,32.0,,14.45,16.1,33.26,31.15,13.29,0.21,2.58
254,255,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,0.011,0.023,384.0,512.0,,,,,,,
255,256,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),100%,0.239,0.272,1024.0,2048.0,,,,,,,
256,257,[pplx-embed-v1-4b](https://huggingface.co/perplexity-ai/pplx-embed-v1-4b),100%,3.611,4.0,2560.0,32768.0,,,,,,59.82,
257,258,[atles-champion-embedding](https://huggingface.co/spartan8806/atles-champion-embedding),95%,0.086,0.109,768.0,512.0,,,,,,,
258,259,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),100%,,,1024.0,32000.0,,,,,,58.47,
259,260,[pplx-embed-v1-0.6b](https://huggingface.co/perplexity-ai/pplx-embed-v1-0.6b),100%,0.44,0.596,1024.0,32768.0,,,,,,58.22,
260,261,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),85%,6.526,7.069,3584.0,32768.0,,,,,,63.58,
261,262,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),85%,1.31,1.543,1536.0,32768.0,,,,,,60.07,
262,263,[MiniCPM-Embedding](https://huggingface.co/openbmb/MiniCPM-Embedding),⚠️ NA,2.442,2.725,2304.0,512.0,,,,,,56.12,
263,264,[DenseOn](https://huggingface.co/lightonai/DenseOn),95%,0.11,0.149,768.0,8192.0,,,,,,53.11,
264,265,[e5-R-mistral-7b](https://huggingface.co/BeastyZ/e5-R-mistral-7b),100%,7.111,7.242,4096.0,32768.0,,,,,,54.22,
265,266,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),100%,0.011,0.023,768.0,512.0,,,,,,53.71,
266,267,[cai-stellaris-text-embeddings](https://huggingface.co/consciousAI/cai-stellaris-text-embeddings),⚠️ NA,,,768.0,514.0,,,63.46,,88.36,,
267,268,[LateOn](https://huggingface.co/lightonai/LateOn),95%,0.11,0.149,128.0,8192.0,,,,,,52.0,
268,269,[cadet-embed-base-v1](https://huggingface.co/manveertamber/cadet-embed-base-v1),95%,0.086,0.109,768.0,512.0,,,,,,51.93,
269,270,[DenseOn-unsupervised](https://huggingface.co/lightonai/DenseOn-unsupervised),95%,0.11,0.149,768.0,8192.0,,,,,,48.7,
270,271,[GTE-ModernColBERT-v1](https://huggingface.co/lightonai/GTE-ModernColBERT-v1),100%,0.11,0.149,128.0,8192.0,,,,,,50.52,
271,272,[ColBERT-Zero](https://huggingface.co/lightonai/ColBERT-Zero),100%,0.11,0.149,128.0,8192.0,,,,,,50.31,
272,273,[ColBERT-Zero-unsupervised](https://huggingface.co/lightonai/ColBERT-Zero-unsupervised),100%,0.11,0.149,128.0,8192.0,,,,,,46.81,
273,274,[LateOn-unsupervised](https://huggingface.co/lightonai/LateOn),95%,0.11,0.149,128.0,8192.0,,,,,,44.69,
274,275,[opensearch-neural-sparse-encoding-doc-v3-gte](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-gte),100%,0.113,0.137,30522.0,8192.0,,,,,,47.38,
275,276,[ColBERT-Zero-supervised](https://huggingface.co/lightonai/ColBERT-Zero-supervised),100%,0.11,0.149,128.0,8192.0,,,,,,45.78,
276,277,[opensearch-neural-sparse-encoding-doc-v3-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-distill),100%,0.043,0.066,30522.0,512.0,,,,,,46.81,
277,278,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100%,0.012,0.024,384.0,512.0,,,,,,39.99,
278,279,[opensearch-neural-sparse-encoding-doc-v2-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill),100%,0.043,0.066,30522.0,512.0,,,,,,45.01,
279,280,[opensearch-neural-sparse-encoding-doc-v2-mini](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-mini),100%,0.011,0.023,30522.0,512.0,,,,,,44.96,
280,281,[baseline-bm25s](https://github.com/xhluca/bm25s),⚠️ NA,,,,,,,,,,42.46,
281,282,[PawanEmbd-68M](https://huggingface.co/dmedhi/PawanEmbd-68M),95%,0.004,0.068,768.0,512.0,,,,,,,
282,283,[pubmedbert-base-embeddings-2M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-2M),100%,0.0,0.002,64.0,,,,,,,,
283,284,[pubmedbert-base-embeddings-1M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-1M),100%,0.0,0.001,64.0,,,,,,,,
284,285,[pubmedbert-base-embeddings-8M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-8M),100%,0.0,0.008,256.0,,,,,,,,
285,286,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,,,,,
286,287,[text-embedding-3-large (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,,,,,
287,288,[pubmedbert-base-embeddings-500K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-500K),100%,0.0,0.001,64.0,,,,,,,,
288,289,[Arabic-Triplet-Matryoshka-V2](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2),100%,0.086,0.135,768.0,768.0,,,,,,,
289,289,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,,,,,
290,291,[text-embedding-3-small (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,,,,,
291,292,[voyage-multimodal-3](https://huggingface.co/voyageai/voyage-multimodal-3),100%,,,1024.0,32768.0,,,,,,,
292,293,[pubmedbert-base-embeddings-100K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-100K),100%,0.0,0.0,64.0,,,,,,,,
293,294,[XLMRoberta-en-da-sv-nb](https://huggingface.co/KFST/XLMRoberta-en-da-sv-nb),⚠️ NA,0.086,0.278,768.0,512.0,,,,,,,
294,295,[dfm-sentence-encoder-large](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-large),100%,0.304,0.355,1024.0,512.0,,,,,,,
295,296,[colbertv2.0](https://huggingface.co/colbert-ir/colbertv2.0),100%,0.086,0.109,,180.0,,,,,,,
296,297,[xlm-roberta-large](https://huggingface.co/FacebookAI/xlm-roberta-large),100%,0.304,0.56,1024.0,512.0,,,,,,,
297,298,[dfm-sentence-encoder-medium](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-medium),100%,0.086,0.124,768.0,512.0,,,,,,,
298,299,[model2vecdk-stem](https://huggingface.co/andersborges/model2vecdk-stem),100%,0.0,0.049,256.0,,,,,,,,
299,300,[xlm-roberta-base](https://huggingface.co/FacebookAI/xlm-roberta-base),100%,0.086,0.278,768.0,512.0,,,,,,,
300,301,[model2vecdk](https://huggingface.co/andersborges/model2vecdk),100%,0.0,0.048,256.0,,,,,,,,
